ID,Name,Sector,City,Funding Stage,International Presence,English Requirement,Score,Outreach_Week
592,Mindtree Morocco (LTIMindtree),IT Services,Casablanca,Subsidiary (LTI),Global — India HQ,Very High — English corporate,100,Week 1
593,Cognizant Morocco,IT Services,Casablanca,Subsidiary (Cognizant),Global — US HQ,Very High — English corporate,100,Week 1
594,EPAM Morocco,Software Engineering,Casablanca,Subsidiary (EPAM),Global — US HQ,Very High — English corporate,100,Week 1
597,Thoughtworks Morocco,Software Consulting,Casablanca,Subsidiary (Thoughtworks),Global — US HQ,Very High — English corporate,100,Week 1
598,Endava Morocco,Software Dev,Casablanca,Subsidiary (Endava),Global — UK HQ,Very High — English delivery,100,Week 1
599,BJIT Morocco,Software Dev,Casablanca,Subsidiary (BJIT),Global — Japan HQ,Very High — English engineering,100,Week 1
606,HP Inc. Morocco,IT Services,Casablanca,Subsidiary (HP),Global — US HQ,Very High — English corporate,100,Week 1
609,Amdocs Morocco,Telecom Software,Casablanca,Subsidiary (Amdocs),Global — US HQ,Very High — English software dev,100,Week 1
610,Conduent Morocco,BPO / IT Services,Casablanca,Subsidiary (Conduent),Global — US HQ,Very High — English corporate,100,Week 1
611,Sutherland Morocco,Digital BPO,Casablanca,Subsidiary (Sutherland),Global — US HQ,Very High — English digital ops,100,Week 1
613,Genpact Morocco,BPO / Digital,Casablanca,Subsidiary (Genpact),Global — US HQ,Very High — English corporate,100,Week 1
614,EXL Service Morocco,Analytics / BPO,Casablanca,Subsidiary (EXL),Global — US HQ,Very High — English analytics,100,Week 1
615,Teleperformance Morocco,CX / BPO,Casablanca,Subsidiary (Teleperformance),Global — France HQ,Very High — English CX operations,100,Week 1
616,Concentrix Morocco,CX Technology,Casablanca,Subsidiary (Concentrix),Global — US HQ,Very High — English customer ops,100,Week 1
617,TTEC Morocco,CX / Digital Services,Casablanca,Subsidiary (TTEC),Global — US HQ,Very High — English digital CX,100,Week 1
619,Transcom Morocco,BPO / CX,Rabat,Subsidiary (Transcom),Global — Sweden HQ,Very High — English customer ops,100,Week 1
620,ResultsCX Morocco,CX Services,Casablanca,Subsidiary,Global — US HQ,Very High — English CX,100,Week 1
621,TaskUs Morocco,Digital Services / CX,Casablanca,Subsidiary (TaskUs),Global — US/Philippines HQ,Very High — English as primary language,100,Week 1
622,Startek Morocco,BPO / CX,Casablanca,Subsidiary (Startek),Global — US HQ,Very High — English corporate,100,Week 1
623,iQor Morocco,BPO / Customer Mgmt,Casablanca,Subsidiary (iQor),Global — US HQ,Very High — English operations,100,Week 1
624,Firstsource Morocco,BPO / Healthcare,Casablanca,Subsidiary (Firstsource),Global — India/UK HQ,Very High — English healthcare ops,100,Week 1
625,Hinduja Global Solutions Morocco,BPO,Casablanca,Subsidiary (HGS),Global — India HQ,Very High — English corporate,100,Week 1
626,Maximus Morocco,Gov Services / BPO,Casablanca,Subsidiary (Maximus),Global — US HQ,Very High — English public sector,100,Week 1
627,Alorica Morocco,BPO / CX,Casablanca,Subsidiary (Alorica),Global — US HQ,Very High — English customer ops,100,Week 1
628,Conectys Morocco,BPO / Content Mod,Casablanca,Subsidiary (Conectys),Global — Romania HQ,Very High — English content moderation,100,Week 1
629,Ascensos Morocco,CX / E-commerce Support,Casablanca,Subsidiary (Ascensos),Global — UK HQ,Very High — English e-commerce,100,Week 1
634,SoftwareOne Morocco,IT Solutions / Cloud,Casablanca,Subsidiary (SoftwareOne),Global — Switzerland HQ,Very High — English corporate,100,Week 1
635,Crayon Morocco,Cloud / IT Advisory,Casablanca,Subsidiary (Crayon),Global — Norway HQ,Very High — English corporate,100,Week 1
801,Morgan Stanley Morocco (CFC),Investment Banking,Casablanca (CFC),Subsidiary,Global — US HQ,Very High — English-only,100,Week 1
802,Goldman Sachs Morocco (CFC),Investment Banking,Casablanca (CFC),Subsidiary,Global — US HQ,Very High — English-only,100,Week 1
803,JP Morgan Morocco (CFC),Investment Banking,Casablanca (CFC),Subsidiary,Global — US HQ,Very High — English-only,100,Week 1
914,Amazon Web Services Morocco,Cloud / IT,Casablanca,Subsidiary (AWS),Global — US HQ,Very High — English cloud,100,Week 1
915,Google Morocco,Tech / Advertising,Casablanca,Subsidiary (Google),Global — US HQ,Very High — English-only,100,Week 1
916,Meta Morocco,Social Media / Tech,Casablanca,Subsidiary (Meta),Global — US HQ,Very High — English-only,100,Week 1
4,Intelcia,BPO / IT Services,Casablanca,Growth (backed by Al Mada),"16 countries across Africa, Europe",Very High — English accounts growing,90,Week 1
10,Call IT Dev,BPO / AI Solutions,Casablanca,Growth,"Europe, North America",Very High — 24/7 multilingual incl. English,90,Week 1
21,Digital Works Company,BPO / Data Processing,Casablanca,Established,"Europe, US",High — English data operations,90,Week 1
49,Dataprotect,Cybersecurity,Casablanca,Growth,20+ African countries,Very High — English security consulting,90,Week 1
60,Huawei Morocco,ICT / Telecom,Rabat,Subsidiary (Huawei),Global,Very High — English as corporate language,90,Week 1
70,Freterium,Logistics SaaS,Casablanca,Seed / Series A,"Africa, Europe",Very High — English SaaS product,90,Week 1
71,Deepecho,HealthTech / AI,Rabat,Seed funded,"Europe, Africa",Very High — English medical AI product,90,Week 1
72,PayTic,FinTech / Card Issuing SaaS,Casablanca,Growth,"Europe, Africa, Middle East",Very High — English SaaS platform,90,Week 1
78,Sowit,AgriTech / Satellite AI,Rabat,Series A,"Africa, Middle East",Very High — English product & clients,90,Week 1
80,Nextprotein,AgriTech / Biotech,Casablanca,Series A,"Europe, Africa","Very High — English R&D, EU clients",90,Week 1
81,Terraa,AgriTech / B2B Marketplace,Casablanca,Seed (Y Combinator),"Morocco, Africa","Very High — YC alumni, English operations",90,Week 1
103,CFG Bank,Investment Banking,Casablanca,Established,"Morocco, Africa",Very High — English investment advisory,90,Week 1
151,Renault Group Morocco (SOMACA + Tangier),Automotive OEM,Tangier & Casablanca,Subsidiary (Renault),Global — exports to 70+ countries,Very High — English global operations,90,Week 1
152,Stellantis Morocco (ex-PSA Kénitra),Automotive OEM,Kénitra,Subsidiary (Stellantis),Global,Very High — English corporate language,90,Week 1
166,Safran Morocco,Aerospace / Engines,Casablanca (Midparc),Subsidiary (Safran),Global — France HQ,Very High — English aerospace operations,90,Week 1
167,Spirit AeroSystems Morocco,Aerospace / Composites,Casablanca (Midparc),Subsidiary (Spirit Aero),Global — US HQ,Very High — English as primary language,90,Week 1
168,Daher Aerospace Morocco,Aerospace / Structures,Tangier,Subsidiary (Daher),Global — France HQ,Very High — English Airbus/Boeing supply chain,90,Week 1
169,LISI Aerospace Morocco,Aerospace Fasteners,Tangier,Subsidiary (LISI),Global — France HQ,Very High — English aerospace quality,90,Week 1
170,Motherson Aerospace Morocco (AD Industries),Aerospace Engineering,Tangier,Subsidiary (Motherson),Global — India HQ,Very High — English as working language,90,Week 1
171,CIRCOR Maroc,Aerospace Components,Tangier,Subsidiary (CIRCOR),Global — US HQ,Very High — English technical operations,90,Week 1
172,Bombardier Morocco,Aerospace / Electrical,Casablanca,Subsidiary (Bombardier),Global — Canada HQ,Very High — English as corporate language,90,Week 1
174,Hexcel Morocco,Aerospace Composites,Casablanca,Subsidiary (Hexcel),Global — US HQ,Very High — English operations,90,Week 1
176,Sothema,Pharma / Biotech,Casablanca,Listed (Casablanca Bourse),"30+ African countries, EU",Very High — English regulatory & partnership,90,Week 1
182,Bayer Morocco,Pharma / Crop Science,Casablanca,Subsidiary (Bayer),Global — Germany HQ,Very High — English corporate language,90,Week 1
183,Sanofi Morocco,Pharmaceuticals,Casablanca,Subsidiary (Sanofi),Global — France HQ,Very High — English scientific comm,90,Week 1
184,GSK Morocco,Pharmaceuticals,Casablanca,Subsidiary (GSK),Global — UK HQ,Very High — English-first company,90,Week 2
185,Pfizer Morocco,Pharmaceuticals,Casablanca,Subsidiary (Pfizer),Global — US HQ,Very High — English-only corporate,90,Week 2
186,Novartis Morocco,Pharmaceuticals,Casablanca,Subsidiary (Novartis),Global — Switzerland HQ,Very High — English as corporate language,90,Week 2
187,Roche Morocco,Pharma / Diagnostics,Casablanca,Subsidiary (Roche),Global — Switzerland HQ,Very High — English scientific & business,90,Week 2
189,AstraZeneca Morocco,Pharmaceuticals,Casablanca,Subsidiary (AstraZeneca),Global — UK HQ,Very High — English-first,90,Week 2
190,MSD Morocco (Merck),Pharmaceuticals,Casablanca,Subsidiary (MSD),Global — US HQ,Very High — English corporate language,90,Week 2
217,ScaledOn,Amazon / E-commerce Mgmt,Casablanca,Established,"US, EU e-commerce clients",Very High — English Amazon operations,90,Week 2
220,Glovo Morocco,Delivery / Tech,Casablanca,Subsidiary (Glovo),Global — Spain HQ,High — English tech operations,90,Week 2
225,MyTindy,Artisan E-commerce,Casablanca,Seed,"International (US, EU buyers)",Very High — English platform & sales,90,Week 2
305,Sowit,AgriTech / AI,Rabat,Series A,"Africa, Middle East",Very High — English product & sales,90,Week 2
351,Tanger Med Port Authority,Port / Logistics Hub,Tangier,State enterprise,#1 Mediterranean port — global shipping,Very High — English port operations,90,Week 2
355,DHL Morocco,Express / Logistics,Casablanca,Subsidiary (DHL),Global — Germany HQ,Very High — English corporate,90,Week 2
356,FedEx Morocco,Express / Logistics,Casablanca,Subsidiary (FedEx),Global — US HQ,Very High — English corporate,90,Week 2
357,UPS Morocco,Express / Logistics,Casablanca,Subsidiary (UPS),Global — US HQ,Very High — English corporate,90,Week 2
358,Maersk Morocco,Shipping / Logistics,Tangier & Casablanca,Subsidiary (Maersk),Global — Denmark HQ,Very High — English shipping ops,90,Week 2
359,MSC Morocco,Shipping / Logistics,Tangier,Subsidiary (MSC),Global — Switzerland HQ,Very High — English shipping,90,Week 2
361,Bolloré Logistics Morocco,Logistics / Freight,Casablanca,Subsidiary (Bolloré),Global — France HQ,Very High — English logistics ops,90,Week 2
362,DB Schenker Morocco,Logistics,Casablanca,Subsidiary (DB Schenker),Global — Germany HQ,Very High — English corporate,90,Week 2
363,Kuehne+Nagel Morocco,Freight / Logistics,Casablanca,Subsidiary (K+N),Global — Switzerland HQ,Very High — English corporate,90,Week 2
364,Dachser Morocco,Logistics,Tangier,Subsidiary (Dachser),Global — Germany HQ,Very High — English corporate,90,Week 2
368,Freterium,Logistics SaaS,Casablanca,Seed/Series A,"Africa, Europe",Very High — English SaaS product,90,Week 2
374,Geodis Morocco,Freight/Logistics,Casablanca,Subsidiary (Geodis/SNCF),Global — France HQ,Very High — English corporate,90,Week 2
375,XPO Logistics Morocco,Logistics,Casablanca,Subsidiary (XPO),Global — US HQ,Very High — English corporate,90,Week 2
505,BMCE Capital (BOA Group),Investment Banking,Casablanca,Subsidiary (BOA),"Africa, international",Very High — English deal-making,90,Week 2
515,212 Founders,Startup Accelerator,Casablanca,Established (CDG),"Morocco, Africa",Very High — English accelerator programs,90,Week 2
525,Atlas Mara (Morocco hub),FinTech / Investment,Casablanca,Established,Pan-African,Very High — English corporate,90,Week 2
607,Nokia Morocco,Telecom / R&D,Rabat,Subsidiary (Nokia),Global — Finland HQ,Very High — English engineering,90,Week 2
608,Ericsson Morocco,Telecom Infrastructure,Rabat,Subsidiary (Ericsson),Global — Sweden HQ,Very High — English corporate,90,Week 2
618,Konecta Morocco,BPO / CX,Casablanca,Subsidiary (Konecta),Global — Spain HQ,High — English CX operations,90,Week 2
630,Atento Morocco,CRM / CX Services,Casablanca,Subsidiary (Atento),Global — Spain/US HQ,High — English CRM ops,90,Week 2
646,Abbott Morocco,Diagnostics / Pharma,Casablanca,Subsidiary (Abbott),Global — US HQ,Very High — English corporate,90,Week 2
660,Deepecho,AI Prenatal Diagnostics,Rabat,Seed funded,"EU, Africa",Very High — English AI product,90,Week 2
686,Boeing Morocco (Training/MRO),Aerospace,Casablanca,Partnership (Boeing),Global — US HQ,Very High — English aviation,90,Week 2
687,Airbus Morocco,Aerospace,Casablanca,Subsidiary (Airbus),Global — EU HQ,Very High — English corporate,90,Week 2
688,Leonardo Morocco,Aerospace / Defense,Casablanca,Subsidiary (Leonardo),Global — Italy HQ,Very High — English defense,90,Week 2
689,Collins Aerospace Morocco,Aerospace Systems,Casablanca,Subsidiary (RTX),Global — US HQ,Very High — English corporate,90,Week 2
690,UTC Aerospace Morocco,Aerospace Parts,Casablanca,Subsidiary (RTX),Global — US HQ,Very High — English corporate,90,Week 2
691,Mecaero,Aerospace Mfg,Casablanca (Midparc),Established,EU/US aerospace export,Very High — English customer mgmt,90,Week 2
702,Brink's Morocco,Cash Logistics / Security,Casablanca,Subsidiary (Brink's),Global — US HQ,Very High — English corporate,90,Week 2
787,Maroc Telecom Business,B2B Telecom / Cloud,Rabat,Subsidiary (IAM),Africa — 10+ countries,Very High — English B2B services,90,Week 2
912,Yandex Morocco (ex),Tech / Search,Casablanca,Partnership/Office,Russia/International,High — English tech ops,90,Week 2
913,Alibaba Group — Morocco Trade,E-commerce Platform,Casablanca,Partnership,Global — China HQ,Very High — English trade platform,90,Week 2
973,Nippon Express Morocco,Logistics,Casablanca,Subsidiary (Nippon Express),Global — Japan HQ,Very High — English corporate,90,Week 2
975,Expeditors Morocco,Freight / Logistics,Casablanca,Subsidiary (Expeditors),Global — US HQ,Very High — English corporate,90,Week 2
976,Damco Morocco (Maersk),Logistics,Casablanca,Subsidiary (Maersk),Global — Denmark HQ,Very High — English corporate,90,Week 2
978,Kerry Logistics Morocco,Logistics,Tangier,Subsidiary (Kerry),Global — HK HQ,Very High — English corporate,90,Week 2
981,Amazon Logistics Morocco,E-commerce / Last Mile,Casablanca,Subsidiary (Amazon),Global — US HQ,Very High — English corporate,90,Week 2
985,Agility Morocco,Logistics,Casablanca,Subsidiary (Agility),Global — Kuwait HQ,Very High — English corporate,90,Week 2
986,CEVA Logistics Morocco,Logistics,Casablanca,Subsidiary (CMA CGM),Global — France HQ,Very High — English corporate,90,Week 2
987,Pantos Logistics Morocco,Logistics,Tangier,Subsidiary (LX Pantos),Global — Korea HQ,Very High — English corporate,90,Week 2
989,Hellmann Worldwide Morocco,Logistics,Casablanca,Subsidiary (Hellmann),Global — Germany HQ,Very High — English corporate,90,Week 2
996,DP World Morocco,Port / Logistics,Tangier,Subsidiary (DP World),Global — UAE HQ,Very High — English corporate,90,Week 2
3,Groupe Outsourcia,BPO / Call Center,Casablanca,Established (IPO Casablanca Bourse),"France, Francophone Africa",High — expanding to English-speaking markets,80,Week 2
5,Comdata Morocco,BPO / Customer Mgmt,Casablanca,Subsidiary (Comdata Group),"Europe, LATAM",High — English-speaking client accounts,80,Week 2
7,Talensia Group,BPO / Customer Service,Casablanca,Established,"France, Europe",High — expanding into English accounts,80,Week 2
8,MSS Connect,BPO / Back-office,Casablanca,Established,Europe,High — English back-office processing,80,Week 2
12,Tingis Group,BPO / IT Outsourcing,Tangier,Established,"Europe, Middle East",High — English client-facing roles,80,Week 2
13,EOL Center,BPO / Digital Services,Casablanca,Established,"France, Europe",High — growing English demand,80,Week 2
14,Offshore Valley,BPO / Nearshore,Casablanca,Established,Europe,High — English technical support,80,Week 2
15,Finatech Group,BPO / Financial Services,Casablanca,Established,"Europe, Africa",High — English financial processing,80,Week 2
16,Right Place Call Morocco,BPO / Call Center,Casablanca,Established,"Europe, North America",High — English call center operations,80,Week 2
17,Xceed Morocco,BPO / Managed Services,Casablanca,Subsidiary (Xceed),"MENA, Europe",High — English client management,80,Week 2
20,Notoriety Group,BPO / Digital Marketing,Casablanca,Established,"Europe, Africa",High — English content creation,80,Week 2
23,Cyclad International,IT Staffing / BPO,Casablanca,Established,"France, Europe",High — English technical placements,80,Week 2
27,Almaviva Morocco,BPO / IT Services,Casablanca,Subsidiary (Almaviva),"Italy, Europe",High — English IT service desk,80,Week 2
29,CBI Morocco,BPO / Business Intelligence,Casablanca,Established,"Europe, Africa",High — English reporting & analytics,80,Week 2
31,Capgemini Morocco,IT Consulting / Digital,Casablanca,Subsidiary (Capgemini),Global — 50+ countries,Very High — English project delivery,80,Week 2
38,GFI Informatique Morocco (Inetum),IT Services,Casablanca,Subsidiary (Inetum),Europe,High — English project management,80,Week 2
41,Obytes,Mobile App Dev,Casablanca,Established,"US, Europe, Middle East",Very High — English client delivery,80,Week 2
42,NORSYS Morocco,IT Services / DevOps,Casablanca,Established,"France, Europe",High — English tech documentation,80,Week 2
43,S2M (Société Maghrébine de Monétique),Fintech / Payments,Casablanca,Listed (Casablanca Bourse),"Africa, Middle East",High — English product documentation,80,Week 2
44,HPS (Hightech Payment Systems),Payment Solutions,Casablanca,Listed (Casablanca Bourse),90+ countries worldwide,Very High — English client engagement,80,Week 2
51,FLEXSI APPS,Mobile / Web Dev,Rabat,Established,"Europe, US",Very High — English project delivery,80,Week 2
52,Screendy,No-Code / App Platform,Casablanca,Seed funded,"US, Europe",Very High — English product & sales,80,Week 2
55,Devoteam Morocco,IT Consulting / Cloud,Casablanca,Subsidiary (Devoteam),Europe,High — English cloud consulting,80,Week 2
57,Omnishore,IT Outsourcing / Dev,Casablanca,Established,"Europe, US",Very High — English dev teams,80,Week 2
59,N+One Datacenters Morocco,Cloud / Data Centers,Casablanca,Subsidiary,"Europe, Africa",High — English technical sales,80,Week 2
61,Cisco Morocco,Networking / IT,Casablanca,Subsidiary (Cisco),Global,Very High — English corporate,80,Week 2
65,Dell Technologies Morocco,IT / Infrastructure,Casablanca,Subsidiary (Dell),Global,Very High — English operations,80,Week 2
66,Chari,FinTech / B2B E-commerce,Casablanca,Series A ($12M) — YC S21,"Morocco, Tunisia, Ivory Coast","Very High — international investors, Visa partner",80,Week 2
69,ORA Technologies,FinTech / Super-app,Casablanca,Series A ($7.5M),"Morocco, expanding Africa",High — English investor relations,80,Week 2
73,Talaty,AI / SMB Lending,Casablanca,"Seed (Witamax, Renew Capital)",Francophone Africa expansion,High — English investor communications,80,Week 2
79,Atlan Space,Aerospace / AI Drones,Casablanca,Seed funded,International defense/security,Very High — English defense sector,80,Week 2
88,WeTruck,Logistics Tech,Casablanca,Seed,"Morocco, Africa",High — English investor relations,80,Week 2
90,CashPlus (Yassir Morocco),FinTech / Payments,Casablanca,Established / Partnership,"Morocco, Africa",High — English fintech operations,80,Week 2
92,Speak Up AI,EdTech / Language AI,Casablanca,Pre-Seed,"Morocco, MENA",Very High — English AI product,80,Week 2
93,Smartprof,EdTech,Casablanca,Seed,"Morocco, Africa",High — English platform,80,Week 2
101,BMCI (BNP Paribas Morocco),Banking,Casablanca,Subsidiary (BNP Paribas),Global via parent,Very High — English as BNP corporate language,80,Week 2
102,Société Générale Maroc,Banking,Casablanca,Subsidiary (Société Générale),Global via parent,Very High — English corporate banking,80,Week 2
110,AXA Assurance Maroc,Insurance,Casablanca,Subsidiary (AXA),Global via parent,Very High — English corporate reporting,80,Week 2
111,Allianz Maroc,Insurance,Casablanca,Subsidiary (Allianz),Global via parent,Very High — English as Allianz language,80,Week 2
112,Zurich Assurance Maroc,Insurance,Casablanca,Subsidiary (Zurich),Global via parent,Very High — English corporate,80,Week 2
116,Visa Morocco,Payments,Casablanca,Subsidiary (Visa),Global,Very High — English as corporate language,80,Week 2
117,Mastercard Morocco,Payments,Casablanca,Subsidiary (Mastercard),Global,Very High — English as corporate language,80,Week 2
118,Standard Chartered Morocco (CFC),Banking,Casablanca,Subsidiary (Standard Chartered),Global,Very High — English-only operations,80,Week 2
119,Bank of China Morocco (CFC),Banking,Casablanca,Subsidiary (Bank of China),Global,Very High — English as business language,80,Week 2
120,Citibank Morocco,Banking,Casablanca,Subsidiary (Citibank),Global,Very High — English as corporate language,80,Week 2
121,HSBC Morocco,Banking,Casablanca,Subsidiary (HSBC),Global,Very High — English as corporate language,80,Week 2
124,Amundoutreach preparation phase — ranking, scoring, and building outreach sequences.i Asset Management Morocco,Asset Management,Casablanca,Subsidiary (Amundi/Crédit Agricole),Global via parent,Very High — English portfolio mgmt,80,Week 2
126,Deloitte Morocco,Audit / Consulting,Casablanca,Subsidiary (Deloitte),Global — Africa hub,Very High — English consulting delivery,80,Week 2
127,PwC Morocco,Audit / Advisory,Casablanca (CFC),Subsidiary (PwC),Global — Africa hub,Very High — English advisory projects,80,Week 3
128,KPMG Morocco,Audit / Advisory,Casablanca,Subsidiary (KPMG),Global,Very High — English reporting,80,Week 3
129,EY Morocco,Audit / Consulting,Casablanca,Subsidiary (EY),Global,Very High — English as working language,80,Week 3
130,McKinsey Morocco,Strategy Consulting,Casablanca,Subsidiary (McKinsey),Global,Very High — English-only environment,80,Week 3
131,BCG Morocco,Strategy Consulting,Casablanca,Subsidiary (BCG),Global,Very High — English-only environment,80,Week 3
136,DLA Piper Morocco,International Law,Casablanca (CFC),Subsidiary (DLA Piper),Global — 40+ countries,Very High — English legal practice,80,Week 3
137,Baker McKenzie Morocco,International Law,Casablanca,Subsidiary (Baker McKenzie),Global,Very High — English legal,80,Week 3
138,Clifford Chance Morocco,International Law,Casablanca (CFC),Subsidiary (Clifford Chance),Global,Very High — English legal,80,Week 3
139,Allen & Overy Morocco,International Law,Casablanca,Subsidiary (A&O Shearman),Global,Very High — English legal,80,Week 3
140,Gide Loyrette Nouel Morocco,International Law,Casablanca,Subsidiary (Gide),Global,Very High — English legal work,80,Week 3
141,Linklaters Morocco,International Law,Casablanca (CFC),Subsidiary (Linklaters),Global,Very High — English legal,80,Week 3
146,WSP Morocco,Engineering Consulting,Casablanca,Subsidiary (WSP),Global,Very High — English as corporate language,80,Week 3
147,Mercer Morocco,HR Consulting,Casablanca,Subsidiary (Marsh McLennan),Global,Very High — English HR consulting,80,Week 3
148,Hays Morocco,Recruitment / HR,Casablanca,Subsidiary (Hays),Global,Very High — English recruitment,80,Week 3
149,Michael Page Morocco,Recruitment,Casablanca,Subsidiary (PageGroup),Global,Very High — English executive recruitment,80,Week 3
153,Lear Corporation Morocco,Auto Parts / Seating,Tangier & Kénitra,Subsidiary (Lear),"Global — exports to EU, US",Very High — English as corporate language,80,Week 3
154,Aptiv Morocco,Auto Electronics / Wiring,Tangier,Subsidiary (Aptiv),Global,Very High — English technical ops,80,Week 3
155,Yazaki Morocco,Auto Wiring Harness,Tangier & Kénitra,Subsidiary (Yazaki),"Global — Japan, EU, US",Very High — English management,80,Week 3
156,Sumitomo Electric Morocco,Auto Wiring,Tangier,Subsidiary (Sumitomo),Global — Japan HQ,Very High — English reporting,80,Week 3
157,Denso Morocco,Auto Components,Tangier,Subsidiary (Denso),Global — Japan HQ,Very High — English operations,80,Week 3
163,TE Connectivity Morocco,Connectors / Sensors,Tangier,Subsidiary (TE Connectivity),Global — Swiss HQ,Very High — English as corporate language,80,Week 3
