ID,Name,Sector,City,Funding Stage,International Presence,English Requirement
33,CGI Morocco,IT Services / Consulting,Rabat,Subsidiary (CGI),"Global — US, EU, Asia",Very High — English technical consulting
34,IBM Morocco,Technology / Services,Casablanca,Subsidiary (IBM),Global,Very High — English corporate language
35,Atos Morocco,IT Services / Digital,Casablanca,Subsidiary (Atos/Eviden),Global,Very High — English tech delivery
36,SQLI Morocco,Digital Agency / IT,Casablanca & Rabat,Listed (Euronext),"Europe, Middle East",Very High — English digital projects
37,Sopra Banking Software Morocco,IT / Banking Software,Casablanca,Subsidiary (Sopra Steria),Global — banking sector,Very High — English software documentation
38,GFI Informatique Morocco (Inetum),IT Services,Casablanca,Subsidiary (Inetum),Europe,High — English project management
39,Sofrecom Morocco,Telecom Consulting,Rabat,Subsidiary (Orange),"Africa, Middle East",High — English telecom consulting
40,xHub,Software Dev / Innovation,Casablanca,Growth,"Europe, US",Very High — English as primary work language
41,Obytes,Mobile App Dev,Casablanca,Established,"US, Europe, Middle East",Very High — English client delivery
42,NORSYS Morocco,IT Services / DevOps,Casablanca,Established,"France, Europe",High — English tech documentation
43,S2M (Société Maghrébine de Monétique),Fintech / Payments,Casablanca,Listed (Casablanca Bourse),"Africa, Middle East",High — English product documentation
44,HPS (Hightech Payment Systems),Payment Solutions,Casablanca,Listed (Casablanca Bourse),90+ countries worldwide,Very High — English client engagement
45,Involys,IT Solutions / ERP,Casablanca,Listed (Casablanca Bourse),Africa,High — English customer support
46,M2M Group,e-Gov / Digital Identity,Casablanca,Listed (Casablanca Bourse),"80+ countries Africa, Asia",Very High — English government contracts
47,Disway,IT Distribution,Casablanca,Listed (Casablanca Bourse),"Morocco, Africa",High — English vendor management
48,IB Maroc,IT Solutions / Networking,Casablanca,Established,Africa,High — English partner management
49,Dataprotect,Cybersecurity,Casablanca,Growth,20+ African countries,Very High — English security consulting
50,MedTech Solutions,Healthcare IT,Casablanca,Growth,"Africa, Middle East",High — English medical tech
51,FLEXSI APPS,Mobile / Web Dev,Rabat,Established,"Europe, US",Very High — English project delivery
52,Screendy,No-Code / App Platform,Casablanca,Seed funded,"US, Europe",Very High — English product & sales
53,DXC Technology Morocco,IT Services,Casablanca,Subsidiary (DXC),Global,Very High — English operations
54,NTT Data Morocco,IT Services,Casablanca,Subsidiary (NTT),Global,Very High — English as corporate language
55,Devoteam Morocco,IT Consulting / Cloud,Casablanca,Subsidiary (Devoteam),Europe,High — English cloud consulting
56,Smile Morocco,Open Source / IT,Casablanca,Subsidiary (Smile Group),Europe,High — English technical projects
57,Omnishore,IT Outsourcing / Dev,Casablanca,Established,"Europe, US",Very High — English dev teams
58,Premium Outsourcing,IT Outsourcing,Casablanca,Established,"France, Europe",High — English outsourcing delivery
59,N+One Datacenters Morocco,Cloud / Data Centers,Casablanca,Subsidiary,"Europe, Africa",High — English technical sales
60,Huawei Morocco,ICT / Telecom,Rabat,Subsidiary (Huawei),Global,Very High — English as corporate language
61,Cisco Morocco,Networking / IT,Casablanca,Subsidiary (Cisco),Global,Very High — English corporate
62,SAP Morocco,Enterprise Software,Casablanca,Subsidiary (SAP),Global,Very High — English as working language
63,Oracle Morocco,Cloud / Database,Casablanca,Subsidiary (Oracle),Global,Very High — English corporate
64,Microsoft Morocco,Technology,Casablanca,Subsidiary (Microsoft),Global,Very High — English corporate
65,Dell Technologies Morocco,IT / Infrastructure,Casablanca,Subsidiary (Dell),Global,Very High — English operations
66,Chari,FinTech / B2B E-commerce,Casablanca,Series A ($12M) — YC S21,"Morocco, Tunisia, Ivory Coast","Very High — international investors, Visa partner"
67,Nuitée,Travel Tech / B2B,Casablanca,Series A ($48M) — Accel-led,Global — hotel distribution worldwide,"Very High — US/EU clients, English product"
68,Yakeey,PropTech,Casablanca,Series A ($15M),"Morocco, expanding MENA",High — international investor reporting
69,ORA Technologies,FinTech / Super-app,Casablanca,Series A ($7.5M),"Morocco, expanding Africa",High — English investor relations
70,Freterium,Logistics SaaS,Casablanca,Seed / Series A,"Africa, Europe",Very High — English SaaS product
71,Deepecho,HealthTech / AI,Rabat,Seed funded,"Europe, Africa",Very High — English medical AI product
72,PayTic,FinTech / Card Issuing SaaS,Casablanca,Growth,"Europe, Africa, Middle East",Very High — English SaaS platform
73,Talaty,AI / SMB Lending,Casablanca,"Seed (Witamax, Renew Capital)",Francophone Africa expansion,High — English investor communications
74,Alya,FinTech / BNPL,Casablanca,Pre-Series A (Proparco),Morocco,High — international investor reporting
75,WafR,Retail Tech / Payments,Casablanca,Seed,"Morocco, Africa",Medium-High — English pitch decks
76,Woliz,Retail Tech,Casablanca,Pre-Seed,Morocco,Medium-High — English investor relations
77,Meilleurcreditimmo,FinTech / Mortgage,Casablanca,Series A (SEAF),Morocco,High — English investor reporting
78,Sowit,AgriTech / Satellite AI,Rabat,Series A,"Africa, Middle East",Very High — English product & clients
79,Atlan Space,Aerospace / AI Drones,Casablanca,Seed funded,International defense/security,Very High — English defense sector
80,Nextprotein,AgriTech / Biotech,Casablanca,Series A,"Europe, Africa","Very High — English R&D, EU clients"
81,Terraa,AgriTech / B2B Marketplace,Casablanca,Seed (Y Combinator),"Morocco, Africa","Very High — YC alumni, English operations"
82,Pactera EDGE Morocco,AI / Data Services,Casablanca,Subsidiary,"Global — US, Asia, Europe",Very High — English data annotation
83,Dropify,E-commerce SaaS,Casablanca,Seed,"Morocco, MENA",High — English product interface
84,DabaDoc,HealthTech / Telemedicine,Casablanca,Series A,"Morocco, Algeria, Tunisia",High — English investor relations
85,Hmizate/Aveniros,E-commerce / Deals,Casablanca,Growth,"Morocco, Africa",Medium-High — English partnerships
86,Kifal Auto,Automotive Marketplace,Casablanca,Seed funded,Morocco,Medium-High — English investor comms
87,Lana.ma,InsurTech,Casablanca,Seed,Morocco,High — English tech development
88,WeTruck,Logistics Tech,Casablanca,Seed,"Morocco, Africa",High — English investor relations
89,Epicerie Verte,D2C / Organic E-commerce,Casablanca,Seed,Morocco,Medium-High — English brand partnerships
90,CashPlus (Yassir Morocco),FinTech / Payments,Casablanca,Established / Partnership,"Morocco, Africa",High — English fintech operations
91,Nawat,Event Tech SaaS,Casablanca,Seed,MENA,High — English SaaS product
92,Speak Up AI,EdTech / Language AI,Casablanca,Pre-Seed,"Morocco, MENA",Very High — English AI product
93,Smartprof,EdTech,Casablanca,Seed,"Morocco, Africa",High — English platform
94,MedSouk,HealthTech / Supply Chain,Casablanca,Seed,Morocco,Medium-High — English investor comms
95,Jobintech,HR Tech / Recruitment,Casablanca,Pre-Seed,Morocco,Medium-High — English tech hiring
96,Attijariwafa Bank,Banking,Casablanca,Listed (Casablanca Bourse),"25+ countries in Africa, Europe","Very High — English investor relations, global reporting"
97,Bank of Africa (BMCE),Banking,Casablanca,Listed (Casablanca Bourse),"20+ countries in Africa, China, Europe",Very High — English banking operations
98,Banque Centrale Populaire (BCP),Banking,Casablanca,Listed (Casablanca Bourse),"Africa, Europe",High — English international banking
99,CIH Bank,Banking / Digital,Casablanca,Listed (Casablanca Bourse),"Morocco, expanding Africa",High — English digital banking
100,Crédit du Maroc,Banking,Casablanca,Subsidiary (Holmarcom/ex-Crédit Agricole),"Morocco, Africa",High — English corporate banking
101,BMCI (BNP Paribas Morocco),Banking,Casablanca,Subsidiary (BNP Paribas),Global via parent,Very High — English as BNP corporate language
102,Société Générale Maroc,Banking,Casablanca,Subsidiary (Société Générale),Global via parent,Very High — English corporate banking
103,CFG Bank,Investment Banking,Casablanca,Established,"Morocco, Africa",Very High — English investment advisory
104,CDG Capital,Investment / Asset Mgmt,Rabat,State-linked (CDG),"Africa, Middle East",High — English asset management
105,Wafa Assurance,Insurance,Casablanca,Listed (Casablanca Bourse),12+ African countries,High — English reinsurance & reporting
106,RMA (Royale Marocaine d'Assurance),Insurance,Casablanca,Established (Al Mada),Africa,High — English international operations
107,Saham Assurance (Sanlam),Insurance,Casablanca,Subsidiary (Sanlam SA),30+ African countries,Very High — English corporate reporting
108,Atlanta Assurances,Insurance,Casablanca,Listed (Casablanca Bourse),"Morocco, Africa",High — English reinsurance
109,MAMDA/MCMA,Agricultural Insurance,Rabat,Established,"Morocco, Africa",Medium-High — English partnershipsoutreach preparation phase — ranking, scoring, and building outreach sequences.
110,AXA Assurance Maroc,Insurance,Casablanca,Subsidiary (AXA),Global via parent,Very High — English corporate reporting
111,Allianz Maroc,Insurance,Casablanca,Subsidiary (Allianz),Global via parent,Very High — English as Allianz language
112,Zurich Assurance Maroc,Insurance,Casablanca,Subsidiary (Zurich),Global via parent,Very High — English corporate
113,Finéa (ex-CMM),SME Financing,Casablanca,State-linked (CDG),Morocco,Medium-High — English stakeholder reporting
114,Maghrebail,Leasing,Casablanca,Listed (Casablaoutreach preparation phase — ranking, scoring, and building outreach sequences.nca Bourse),Morocco,Medium-High — English financial docs
115,Wafasalaf,Consumer Credit,Casablanca,Subsidiary (Attijariwafa),Morocco,Medium-High — English reporting
116,Visa Morocco,Payments,Casablanca,Subsidiary (Visa),Global,Very High — English as corporate language
117,Mastercard Morocco,Payments,Casablanca,Subsidiary (Mastercard),Global,Very High — English as corporate language
118,Standard Chartered Morocco (CFC),Banking,Casablanca,Subsidiary (Standard Chartered),Global,Very High — English-only operations
119,Bank of China Morocco (CFC),Banking,Casablanca,Subsidiary (Bank of China),Global,Very High — English as business language
120,Citibank Morocco,Banking,Casablanca,Subsidiary (Citibank),Global,Very High — English as corporate language
121,HSBC Morocco,Banking,Casablanca,Subsidiary (HSBC),Global,Very High — English as corporate language
122,Al Barid Bank,Banking / Financial Inclusion,Rabat,State-owned (Barid Al-Maghrib),"Morocco, partnerships Africa",Medium-High — English for partnerships
123,Tamwilcom,SME Guarantee / Finance,Rabat,State-linked,"Morocco, Africa cooperation",High — English for international programs
124,Amundi Asset Management Morocco,Asset Management,Casablanca,Subsidiary (Amundi/Crédit Agricole),Global via parent,Very High — English portfolio mgmt
125,CMI (Centre Monétique Interbancaire),Payments Infrastructure,Casablanca,Industry consortium,"Morocco, partnerships global",High — English technical partnerships
126,Deloitte Morocco,Audit / Consulting,Casablanca,Subsidiary (Deloitte),Global — Africa hub,Very High — English consulting delivery
127,PwC Morocco,Audit / Advisory,Casablanca (CFC),Subsidiary (PwC),Global — Africa hub,Very High — English advisory projects
128,KPMG Morocco,Audit / Advisory,Casablanca,Subsidiary (KPMG),Global,Very High — English reporting
129,EY Morocco,Audit / Consulting,Casablanca,Subsidiary (EY),Global,Very High — English as working language
130,McKinsey Morocco,Strategy Consulting,Casablanca,Subsidiary (McKinsey),Global,Very High — English-only environment
131,BCG Morocco,Strategy Consulting,Casablanca,Subsidiary (BCG),Global,Very High — English-only environment
132,Roland Berger Morocco,Strategy Consulting,Casablanca (CFC),Subsidiary (Roland Berger),"Europe, Africa, Middle East",Very High — English strategy work
133,Mazars Morocco,Audit / Advisory,Casablanca,Member firm (Mazars),Global,High — English audit documentation
134,BDO Morocco,Audit / Advisory,Casablanca,Member firm (BDO),Global,High — English audit work
135,Grant Thornton Morocco,Audit / Advisory,Casablanca,Member firm,Global,High — English consulting
136,DLA Piper Morocco,International Law,Casablanca (CFC),Subsidiary (DLA Piper),Global — 40+ countries,Very High — English legal practice
137,Baker McKenzie Morocco,International Law,Casablanca,Subsidiary (Baker McKenzie),Global,Very High — English legal
138,Clifford Chance Morocco,International Law,Casablanca (CFC),Subsidiary (Clifford Chance),Global,Very High — English legal
139,Allen & Overy Morocco,International Law,Casablanca,Subsidiary (A&O Shearman),Global,Very High — English legal
140,Gide Loyrette Nouel Morocco,International Law,Casablanca,Subsidiary (Gide),Global,Very High — English legal work
141,Linklaters Morocco,International Law,Casablanca (CFC),Subsidiary (Linklaters),Global,Very High — English legal
142,De Pardieu Brocas Maffei Morocco,Law,Casablanca,Subsidiary,"France, Africa",High — English M&A transactions
143,LPA-CGR Morocco,Consulting / Legal,Casablanca,Established,"Europe, Africa",High — English consulting
144,Artelia Morocco,Engineering Consulting,Casablanca,Subsidiary (Artelia),Global — 40+ countries,High — English project management
145,Egis Morocco,Engineering Consulting,Rabat,Subsidiary (Egis),Global,High — English infrastructure consulting
146,WSP Morocco,Engineering Consulting,Casablanca,Subsidiary (WSP),Global,Very High — English as corporate language
147,Mercer Morocco,HR Consulting,Casablanca,Subsidiary (Marsh McLennan),Global,Very High — English HR consulting
148,Hays Morocco,Recruitment / HR,Casablanca,Subsidiary (Hays),Global,Very High — English recruitment
149,Michael Page Morocco,Recruitment,Casablanca,Subsidiary (PageGroup),Global,Very High — English executive recruitment
150,Manpower Morocco,Staffing / HR,Casablanca,Subsidiary (ManpowerGroup),Global,High — English staffing operations
151,Renault Group Morocco (SOMACA + Tangier),Automotive OEM,Tangier & Casablanca,Subsidiary (Renault),Global — exports to 70+ countries,Very High — English global operations
152,Stellantis Morocco (ex-PSA Kénitra),Automotive OEM,Kénitra,Subsidiary (Stellantis),Global,Very High — English corporate language
153,Lear Corporation Morocco,Auto Parts / Seating,Tangier & Kénitra,Subsidiary (Lear),"Global — exports to EU, US",Very High — English as corporate language
154,Aptiv Morocco,Auto Electronics / Wiring,Tangier,Subsidiary (Aptiv),Global,Very High — English technical ops
155,Yazaki Morocco,Auto Wiring Harness,Tangier & Kénitra,Subsidiary (Yazaki),"Global — Japan, EU, US",Very High — English management
156,Sumitomo Electric Morocco,Auto Wiring,Tangier,Subsidiary (Sumitomo),Global — Japan HQ,Very High — English reporting
157,Denso Morocco,Auto Components,Tangier,Subsidiary (Denso),Global — Japan HQ,Very High — English operations
158,CIE Automotive Morocco,Plastic Injection / Auto,Tangier,Subsidiary (CIE Automotive),Global — Spain HQ,High — English customer management
159,Antolin Tanger,Interior Auto Parts,Tangier,Subsidiary (Grupo Antolin),Global — Spain HQ,High — English quality & compliance
160,Delfingen Morocco,Auto Protection Solutions,Tangier,Subsidiary (Delfingen),Global — France HQ,High — English product documentation
161,ACOME Morocco,Cables & Wiring,Tangier,Subsidiary (ACOME),"Europe, Asia",High — English technical docs
162,Coficab Morocco,Auto Cable Systems,Tangier,Subsidiary (Elloumi Group),Global — 10+ countries,High — English quality management
163,TE Connectivity Morocco,Connectors / Sensors,Tangier,Subsidiary (TE Connectivity),Global — Swiss HQ,Very High — English as corporate language
164,Saint-Gobain Morocco,Auto Glass / Materials,Kénitra,Subsidiary (Saint-Gobain),Global — France HQ,High — English corporate reporting
165,Valeo Morocco,Auto Tech / Electronics,Tangier,Subsidiary (Valeo),Global — France HQ,Very High — English engineering
166,Safran Morocco,Aerospace / Engines,Casablanca (Midparc),Subsidiary (Safran),Global — France HQ,Very High — English aerospace operations
167,Spirit AeroSystems Morocco,Aerospace / Composites,Casablanca (Midparc),Subsidiary (Spirit Aero),Global — US HQ,Very High — English as primary language
168,Daher Aerospace Morocco,Aerospace / Structures,Tangier,Subsidiary (Daher),Global — France HQ,Very High — English Airbus/Boeing supply chain
169,LISI Aerospace Morocco,Aerospace Fasteners,Tangier,Subsidiary (LISI),Global — France HQ,Very High — English aerospace quality
170,Motherson Aerospace Morocco (AD Industries),Aerospace Engineering,Tangier,Subsidiary (Motherson),Global — India HQ,Very High — English as working language
171,CIRCOR Maroc,Aerospace Components,Tangier,Subsidiary (CIRCOR),Global — US HQ,Very High — English technical operations
172,Bombardier Morocco,Aerospace / Electrical,Casablanca,Subsidiary (Bombardier),Global — Canada HQ,Very High — English as corporate language
173,Stelia Aerospace Morocco (Airbus Atlantic),Aerostructures,Casablanca,Subsidiary (Airbus),Global — France/EU HQ,Very High — English Airbus reporting
174,Hexcel Morocco,Aerospace Composites,Casablanca,Subsidiary (Hexcel),Global — US HQ,Very High — English operations
175,Figeac Aéro Morocco,Aerospace Machining,Casablanca,Subsidiary (Figeac Aéro),Global — France HQ,High — English customer interface
176,Sothema,Pharma / Biotech,Casablanca,Listed (Casablanca Bourse),"30+ African countries, EU",Very High — English regulatory & partnership
177,Cooper Pharma,Pharmaceuticals,Casablanca,Established (Holmarcom),"Africa, Middle East, France",High — English international business
178,Pharma 5,Pharma / Generics,Casablanca,Established,"Africa, Middle East",High — English regulatory filings
179,Laprophan,Pharma / R&D,Casablanca,Established,"Europe, Africa, Americas",Very High — English patent & regulatory
180,Galenica (Groupe Galenica),Pharma Distribution,Casablanca,Established,Africa,High — English distribution partnerships
181,Polymedic,Pharma Manufacturing,Casablanca,Established,"Africa, Middle East",High — English quality & regulatory
182,Bayer Morocco,Pharma / Crop Science,Casablanca,Subsidiary (Bayer),Global — Germany HQ,Very High — English corporate language
183,Sanofi Morocco,Pharmaceuticals,Casablanca,Subsidiary (Sanofi),Global — France HQ,Very High — English scientific comm
184,GSK Morocco,Pharmaceuticals,Casablanca,Subsidiary (GSK),Global — UK HQ,Very High — English-first company
185,Pfizer Morocco,Pharmaceuticals,Casablanca,Subsidiary (Pfizer),Global — US HQ,Very High — English-only corporate
186,Novartis Morocco,Pharmaceuticals,Casablanca,Subsidiary (Novartis),Global — Switzerland HQ,Very High — English as corporate language
187,Roche Morocco,Pharma / Diagnostics,Casablanca,Subsidiary (Roche),Global — Switzerland HQ,Very High — English scientific & business
188,Johnson & Johnson Morocco,Pharma / MedTech,Casablanca,Subsidiary (J&J),Global — US HQ,Very High — English corporate
189,AstraZeneca Morocco,Pharmaceuticals,Casablanca,Subsidiary (AstraZeneca),Global — UK HQ,Very High — English-first
190,MSD Morocco (Merck),Pharmaceuticals,Casablanca,Subsidiary (MSD),Global — US HQ,Very High — English corporate language
191,OCP Group,Mining / Fertilizers,Casablanca & Khouribga,State conglomerate,Global — exports to 160+ countries,Very High — English international sales & R&D
192,OCP Green Energy,Renewable Energy,Benguerir,Subsidiary (OCP),Global via parent,Very High — English green energy partnerships
193,MASEN,Renewable Energy Agency,Rabat,State agency,"International partnerships (ACWA, EDF, Masdar)",Very High — English contract negotiations
194,ONEE (Office National de l'Electricité),Utilities / Energy,Rabat,State enterprise,Africa (operations in multiple countries),High — English international cooperation
195,Nareva Holding,Energy / Renewables,Casablanca,Established (Al Mada),"Morocco, Africa — wind & solar",High — English international JVs
196,TAQA Morocco (JLEC),Power Generation,Casablanca,Listed (Casablanca Bourse),Subsidiary of TAQA Abu Dhabi,Very High — English as TAQA corporate language
197,Schneider Electric Morocco,Energy Management,Casablanca,Subsidiary (Schneider),Global — France HQ,Very High — English corporate
198,Engie Morocco,Energy / Services,Casablanca,Subsidiary (Engie),Global — France HQ,Very High — English operations
199,TotalEnergies Morocco,Energy / Hydrocarbons,Casablanca,Subsidiary (TotalEnergies),Global — France HQ,Very High — English corporate language
200,Shell Morocco,Energy / Lubricants,Casablanca,Subsidiary (Shell),Global — UK/Netherlands HQ,Very High — English-only corporate
201,Maroc Telecom (IAM),Telecom,Rabat,Listed (Casablanca + Paris),10 African countries (Moov Africa),Very High — English for pan-African ops
202,Orange Morocco,Telecom,Casablanca,Subsidiary (Orange Group),MEA regional HQ in Casablanca,Very High — English as Orange corporate language
203,Inwi,Telecom,Casablanca,Established (Al Mada / Zain),Roaming partnerships globally,High — English roaming/partner management
204,Wana Corporate,Telecom / Enterprise,Casablanca,Subsidiary (Inwi Group),"Morocco, Africa partnerships",High — English enterprise solutions
205,Sofrecom Morocco (Orange Consulting),Telecom Consulting,Rabat,Subsidiary (Orange),"Africa, Middle East — 18 countries",Very High — English telecom advisory
206,Ubisoft Morocco,Gaming / Tech,Casablanca,Subsidiary (Ubisoft),Global — France HQ,Very High — English game development
207,STMicroelectronics Morocco,Semiconductors,Casablanca,Subsidiary (STMicro),Global — Switzerland/NL HQ,Very High — English semiconductor ops
208,Amazon Morocco,E-commerce / Tech,Casablanca,Subsidiary (Amazon),Global — US HQ,Very High — English corporate language
209,Thales Morocco,Defense / Aerospace Tech,Casablanca,Subsidiary (Thales),Global — France HQ,Very High — English defense sector
210,2M (Soread),Media / Broadcasting,Casablanca,State-linked,"Morocco, Francophone Africa",Medium-High — English content partnerships
211,Sonarges (HIT Radio Group),Media / Radio,Casablanca,Established,Morocco,Medium-High — English content & ads
212,Disruptis,Digital Consultancy,Casablanca,Growth,"Europe, Africa",High — English digital strategy
213,Americaneagle.com Morocco,Digital Agency,Tangier,Subsidiary,Global — US HQ,Very High — English web development
214,Rhillane Marketing Digital,Digital Marketing,Casablanca,Established,"Morocco, Dubai, Europe",High — English digital marketing
215,Tasyier,E-commerce SEO,Casablanca,Established,International clients,Very High — English SEO services
216,MarketMedia,Digital Marketing,Casablanca,Established,"Morocco, international",High — English content marketing
217,ScaledOn,Amazon / E-commerce Mgmt,Casablanca,Established,"US, EU e-commerce clients",Very High — English Amazon operations
218,Avito.ma (OLX),Classifieds / Marketplace,Casablanca,Subsidiary (Prosus/Naspers),Global via parent,High — English corporate reporting
219,Jumia Morocco,E-commerce,Casablanca,Listed (NYSE via parent),Pan-African,Very High — English corporate & investor
220,Glovo Morocco,Delivery / Tech,Casablanca,Subsidiary (Glovo),Global — Spain HQ,High — English tech operations
221,Careem Morocco,Ride-hailing / Tech,Casablanca,Subsidiary (Uber),MENA via parent,Very High — English corporate
222,Yassir Morocco,Super-app / Mobility,Casablanca,Subsidiary (Yassir),"Maghreb, Africa",High — English investor/product
223,InDriver Morocco,Ride-hailing,Casablanca,Subsidiary (InDriver),Global — US HQ,Very High — English corporate
224,Hmizate,E-commerce / Deals,Casablanca,Established,Morocco,Medium-High — English partnerships
225,MyTindy,Artisan E-commerce,Casablanca,Seed,"International (US, EU buyers)",Very High — English platform & sales
226,Centrale Danone,Dairy / FMCG,Casablanca,Subsidiary (Danone),Global via parent,Very High — English corporate reporting
227,Nestlé Morocco,Food & Beverage,El Jadida / Casablanca,Subsidiary (Nestlé),Global — Switzerland HQ,Very High — English as corporate language
228,Procter & Gamble Morocco,Consumer Goods,Casablanca,Subsidiary (P&G),Global — US HQ,Very High — English corporate language
229,Unilever Maghreb,Consumer Goods,Casablanca,Subsidiary (Unilever),Global — UK/NL HQ,Very High — English corporate
230,L'Oréal Maroc,Beauty / Cosmetics,Casablanca,Subsidiary (L'Oréal),Global — France HQ,Very High — English corporate
231,Henkel Morocco,Consumer / Industrial,Casablanca,Subsidiary (Henkel),Global — Germany HQ,Very High — English corporate language
232,Colgate-Palmolive Morocco,Consumer Goods,Casablanca,Subsidiary (Colgate),Global — US HQ,Very High — English corporate
233,Coca-Cola Morocco (NABC),Beverages,Casablanca,Franchise (Coca-Cola),Global via Coca-Cola system,Very High — English Coca-Cola reporting
234,PepsiCo Morocco,Beverages / Snacks,Casablanca,Subsidiary (PepsiCo),Global — US HQ,Very High — English corporate
235,Philip Morris Morocco,Tobacco / IQOS,Casablanca,Subsidiary (PMI),Global — US HQ,Very High — English corporate language
236,JTI Morocco (Japan Tobacco),Tobacco,Casablanca,Subsidiary (JTI),Global — Japan/Switzerland HQ,Very High — English corporate
237,Lesieur Cristal,Oils / Food,Casablanca,Listed (Casablanca Bourse),"Export to Africa, EU",High — English export operations
238,Cosumar,Sugar / Agri-food,Casablanca,Listed (Casablanca Bourse),Africa (subsidiaries),High — English African operations
239,Dari Couspate,Food / Couscous,Casablanca,Listed (Casablanca Bourse),"Export to EU, US, Africa",High — English export & compliance
240,Bel Morocco (Laughing Cow),Dairy / Cheese,Casablanca,Subsidiary (Bel Group),Global — France HQ,Very High — English corporate
241,McCain Morocco,Frozen Food,Casablanca,Subsidiary (McCain),Global — Canada HQ,Very High — English corporate
242,Mars Morocco,Confectionery / Pet,Casablanca,Subsidiary (Mars),Global — US HQ,Very High — English corporate
243,Mondelez Morocco,Snacks,Casablanca,Subsidiary (Mondelez),Global — US HQ,Very High — English corporate
244,Decathlon Morocco,Sporting Goods Retail,Casablanca,Subsidiary (Decathlon),Global — France HQ,High — English corporate reporting
245,IKEA Morocco (Modema),Home Furnishing,Casablanca,Franchise,Global — Sweden HQ,Very High — English IKEA standards
246,Zara Morocco (Inditex),Fashion Retail,Casablanca,Subsidiary (Inditex),Global — Spain HQ,High — English supply chain / HQ
247,H&M Morocco,Fashion Retail,Casablanca,Subsidiary (H&M),Global — Sweden HQ,Very High — English corporate
248,Carrefour Morocco (LabelVie),Retail / Supermarket,Casablanca,Listed (Casablanca Bourse),Franchise — France HQ,High — English Carrefour standards
