ID,Name,Sector,City,Funding Stage,International Presence,English Requirement,Score,Outreach_Week,Website_URL
571,Red Hat Morocco,Open Source / Cloud,Casablanca,Subsidiary (IBM),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
572,Trend Micro Morocco,Cybersecurity,Casablanca,Subsidiary (Trend Micro),Global — Japan HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
573,Palo Alto Networks Morocco,Cybersecurity,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate,100,Week 1,https://www.paloaltonetworks.com/
574,Fortinet Morocco,Cybersecurity,Casablanca,Subsidiary (Fortinet),Global — US HQ,Very High — English corporate,100,Week 1,https://www.fortinet.com/corporate/about-us/global-offices
575,Check Point Morocco,Cybersecurity,Casablanca,Subsidiary (Check Point),Global — Israel HQ,Very High — English corporate,100,Week 1,https://www.checkpoint.com/
576,Kaspersky Morocco,Cybersecurity,Casablanca,Subsidiary (Kaspersky),Global — Russia/UK HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
588,Wipro Morocco,IT Services,Casablanca,Subsidiary (Wipro),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
589,Infosys Morocco,IT Services,Casablanca,Subsidiary (Infosys),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
590,TCS Morocco (Tata Consultancy),IT Services,Casablanca,Subsidiary (TCS),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
591,Tech Mahindra Morocco,IT Services,Casablanca,Subsidiary (Tech Mahindra),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
592,Mindtree Morocco (LTIMindtree),IT Services,Casablanca,Subsidiary (LTI),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
593,Cognizant Morocco,IT Services,Casablanca,Subsidiary (Cognizant),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
